id,Total
36001,8777
36003,507
36005,35507
36007,5568
36009,1158
36011,1341
36013,2786
36015,1567
36017,685
36019,1214
36021,970
36023,994
36025,520
36027,3834
36029,23371
36031,419
36033,688
36035,1087
36037,1142
36039,632
36041,36
36043,1125
36045,2253
36047,49766
36049,257
36051,809
36053,983
36055,18945
36057,938
36059,14016
36061,47146
36063,5455
36065,4773
36067,10893
36069,1622
36071,6739
36073,763
36075,1980
36077,732
36079,628
36081,32860
36083,3513
36085,5969
36087,3404
36091,2795
36093,4592
36095,314
36097,70
36099,568
36089,1512
36101,1263
36103,20543
36105,1280
36107,456
36109,1949
36111,2550
36113,1079
36115,503
36117,1487
36119,11572
36121,346
36123,259
